,Tipo de Album,Nombre del Album,Tipo de Album,Duracion Cancion en MS,Explicita o No,id,Nombre Cancion,Popularidad Cancion,Duracion Cancion en MIN,ID Playlist
0,single,Dibújame,album,236932,False,0RKglZdTQ7BLrs6vplb2qm,Dibújame,71,3.9488666666666665,6yk3BrGrCQ4TMCutpuIHXS
1,single,Pa' Olvidarme De Ella,album,227233,True,1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,84,3.7872166666666667,6yk3BrGrCQ4TMCutpuIHXS
2,album,Playa Sax,album,144018,False,3Fc7UXQiievrLVVxmqCYFa,Havana (Sax Version),35,2.4003,6yk3BrGrCQ4TMCutpuIHXS
3,album,Tattoos (Deluxe Edition),album,193295,False,4B4zDmbHdkXZ1wUJv1yKFy,Wiggle (feat. Snoop Dogg),68,3.2215833333333332,6yk3BrGrCQ4TMCutpuIHXS
4,album,Dos Necios de Verdad,album,306413,False,53wqj8xuyBZIpk8Ubp9gFp,Será,0,5.106883333333333,6yk3BrGrCQ4TMCutpuIHXS
5,single,10 A.M.,album,210240,False,6m7iROft03ArIACgwVjL72,10 A.M.,0,3.504,6yk3BrGrCQ4TMCutpuIHXS
6,single,Hello,album,295493,False,0ENSn4fwAbCGeFGVUbXEU3,Hello,61,4.924883333333334,6yk3BrGrCQ4TMCutpuIHXS
7,single,I Don't Know You,album,209449,False,4cJOLN346rtOty3UPACsao,I Don't Know You,67,3.4908166666666665,6yk3BrGrCQ4TMCutpuIHXS
8,single,Come and Get Your Love,album,205933,False,7GVUmCP00eSsqc4tzj1sDD,Come and Get Your Love - Single Version,77,3.4322166666666667,6yk3BrGrCQ4TMCutpuIHXS
9,album,Queremos Rock,album,259398,False,2LSa3F2AZldoF2jSCxG5re,Mil Demonios,65,4.3233,6yk3BrGrCQ4TMCutpuIHXS
10,compilation,The Best Of Big Mountain,album,249520,False,1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way",69,4.158666666666667,6yk3BrGrCQ4TMCutpuIHXS
11,single,Ella Se Mueve,album,234910,False,7r9JHOYtIfnviFQD8i6L2l,Ella Se Mueve,32,3.9151666666666665,6yk3BrGrCQ4TMCutpuIHXS
12,single,Trumpets,album,206400,False,6Ovnso88y3EQqSGpHANYtr,Trumpets - Radio Mix,0,3.44,6yk3BrGrCQ4TMCutpuIHXS
13,album,Fore!,album,245466,False,648BMGrt98kUbLo24A4vgj,Hip To Be Square,65,4.0911,6yk3BrGrCQ4TMCutpuIHXS
14,album,30 años y un día,album,205826,False,2b4YmTAw00De49Pdbm3P6S,Visite nuestro bar - Remaster 2015,44,3.4304333333333332,6yk3BrGrCQ4TMCutpuIHXS
15,album,El Objeto Antes Llamado Disco,album,254173,False,2GvI8j0DaIAGvubj5NinEF,Aprovéchate,61,4.2362166666666665,6yk3BrGrCQ4TMCutpuIHXS
16,compilation,Me Verás Volver (Hits & Más),album,292266,False,5wCUdBsdubZ3ZFoJoRsMrY,Persiana Americana - Remasterizado 2007,65,4.8711,6yk3BrGrCQ4TMCutpuIHXS
17,album,Las Consecuencias,album,233960,False,73KNzyiG6xM6xguaLe4ICj,Frente a frente (feat. Tulsa),65,3.8993333333333333,6yk3BrGrCQ4TMCutpuIHXS
18,album,Fabricando Fantasías,album,272266,False,5bkWgrKyNhMcriQP3CrHEA,Fabricando Fantasías - Salsa Version,65,4.537766666666666,6yk3BrGrCQ4TMCutpuIHXS
19,single,Vete,album,206546,False,3IUoi4GkPLZY79QGoEHfF0,Vete,43,3.4424333333333332,6yk3BrGrCQ4TMCutpuIHXS
20,album,Que Hago Aquí?,album,221600,False,6FmwfLbteUqHfcz10Ab9yY,Dr. Psiquiatra,61,3.6933333333333334,6yk3BrGrCQ4TMCutpuIHXS
21,single,Verano Azul,album,190560,False,0dgwWXkfcWyB2a2qTgEc0F,Verano Azul,67,3.176,6yk3BrGrCQ4TMCutpuIHXS
