,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,0.831,0.417,8,-7.139,0,0.395,0.794,0.0,0.108,0.484,147.993,0RKglZdTQ7BLrs6vplb2qm
1,0.728,0.542,0,-5.195,1,0.0514,0.259,0.0,0.136,0.637,90.016,1cVlW9WQiGlFdWUXFdFZGh
2,0.829,0.633,2,-3.895,1,0.0345,0.478,0.407,0.231,0.842,107.067,3Fc7UXQiievrLVVxmqCYFa
3,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,4B4zDmbHdkXZ1wUJv1yKFy
4,0.61,0.391,9,-11.878,1,0.0374,0.319,2.62e-05,0.743,0.259,134.957,53wqj8xuyBZIpk8Ubp9gFp
5,0.525,0.889,1,-6.49,0,0.032,0.307,0.0439,0.0749,0.803,154.987,6m7iROft03ArIACgwVjL72
6,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,0ENSn4fwAbCGeFGVUbXEU3
7,0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,4cJOLN346rtOty3UPACsao
8,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,7GVUmCP00eSsqc4tzj1sDD
9,0.647,0.468,2,-8.871,1,0.0263,0.0827,0.00276,0.0807,0.262,140.037,2LSa3F2AZldoF2jSCxG5re
10,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518,1Rvl8qsKJurfFTyWLBI9ib
11,0.713,0.745,9,-4.591,1,0.0439,0.0565,9.29e-05,0.0568,0.945,91.975,7r9JHOYtIfnviFQD8i6L2l
12,0.571,0.746,9,-4.473,1,0.304,0.00281,0.000101,0.0418,0.367,199.845,6Ovnso88y3EQqSGpHANYtr
13,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000347,0.139,0.963,140.873,648BMGrt98kUbLo24A4vgj
14,0.651,0.949,5,-4.384,1,0.0737,0.0864,0.126,0.255,0.964,77.669,2b4YmTAw00De49Pdbm3P6S
15,0.741,0.686,9,-7.25,0,0.0291,0.0742,0.0289,0.0957,0.466,113.993,2GvI8j0DaIAGvubj5NinEF
16,0.602,0.916,4,-5.418,0,0.0399,0.0123,0.00134,0.133,0.549,101.212,5wCUdBsdubZ3ZFoJoRsMrY
17,0.419,0.473,7,-8.192,0,0.0288,0.513,3.52e-06,0.133,0.324,138.013,73KNzyiG6xM6xguaLe4ICj
18,0.726,0.857,9,-3.264,1,0.0424,0.244,0.0,0.108,0.928,90.74,5bkWgrKyNhMcriQP3CrHEA
19,0.634,0.275,7,-5.846,1,0.032,0.233,0.000476,0.243,0.343,146.99,3IUoi4GkPLZY79QGoEHfF0
20,0.944,0.623,0,-11.456,1,0.112,0.157,0.023,0.292,0.651,131.034,6FmwfLbteUqHfcz10Ab9yY
21,0.887,0.87,2,-5.267,1,0.119,0.0145,0.0,0.015,0.838,126.048,0dgwWXkfcWyB2a2qTgEc0F
