,Unnamed: 0,Tipo de Album,Nombre del Album,Tipo de Album.1,Duracion Cancion en MS,Explicita o No,id,Nombre Cancion,Popularidad Cancion,Duracion Cancion en MIN,ID Playlist,Usuario
0,0,single,Dibújame,album,236932,False,0RKglZdTQ7BLrs6vplb2qm,Dibújame,71,3.9488666666666665,6yk3BrGrCQ4TMCutpuIHXS,Brenda
1,1,single,Pa' Olvidarme De Ella,album,227233,True,1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,84,3.7872166666666662,6yk3BrGrCQ4TMCutpuIHXS,Brenda
2,2,album,Playa Sax,album,144018,False,3Fc7UXQiievrLVVxmqCYFa,Havana (Sax Version),34,2.4003,6yk3BrGrCQ4TMCutpuIHXS,Brenda
3,3,album,Tattoos (Deluxe Edition),album,193295,False,4B4zDmbHdkXZ1wUJv1yKFy,Wiggle (feat. Snoop Dogg),68,3.221583333333333,6yk3BrGrCQ4TMCutpuIHXS,Brenda
4,4,album,Dos Necios de Verdad,album,306413,False,53wqj8xuyBZIpk8Ubp9gFp,Será,0,5.106883333333333,6yk3BrGrCQ4TMCutpuIHXS,Brenda
5,5,single,10 A.M.,album,210240,False,6m7iROft03ArIACgwVjL72,10 A.M.,0,3.5039999999999996,6yk3BrGrCQ4TMCutpuIHXS,Brenda
6,6,single,Hello,album,295493,False,0ENSn4fwAbCGeFGVUbXEU3,Hello,61,4.924883333333334,6yk3BrGrCQ4TMCutpuIHXS,Brenda
7,7,single,I Don't Know You,album,209449,False,4cJOLN346rtOty3UPACsao,I Don't Know You,67,3.4908166666666665,6yk3BrGrCQ4TMCutpuIHXS,Brenda
8,8,single,Come and Get Your Love,album,205933,False,7GVUmCP00eSsqc4tzj1sDD,Come and Get Your Love - Single Version,77,3.4322166666666667,6yk3BrGrCQ4TMCutpuIHXS,Brenda
9,9,album,Queremos Rock,album,259398,False,2LSa3F2AZldoF2jSCxG5re,Mil Demonios,65,4.3233,6yk3BrGrCQ4TMCutpuIHXS,Brenda
10,10,compilation,The Best Of Big Mountain,album,249520,False,1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way",69,4.158666666666667,6yk3BrGrCQ4TMCutpuIHXS,Brenda
11,11,single,Ella Se Mueve,album,234910,False,7r9JHOYtIfnviFQD8i6L2l,Ella Se Mueve,32,3.9151666666666665,6yk3BrGrCQ4TMCutpuIHXS,Brenda
12,12,single,Trumpets,album,206400,False,6Ovnso88y3EQqSGpHANYtr,Trumpets - Radio Mix,0,3.44,6yk3BrGrCQ4TMCutpuIHXS,Brenda
13,13,album,Fore!,album,245466,False,648BMGrt98kUbLo24A4vgj,Hip To Be Square,65,4.0911,6yk3BrGrCQ4TMCutpuIHXS,Brenda
14,14,album,30 años y un día,album,205826,False,2b4YmTAw00De49Pdbm3P6S,Visite nuestro bar - Remaster 2015,43,3.430433333333333,6yk3BrGrCQ4TMCutpuIHXS,Brenda
15,15,album,El Objeto Antes Llamado Disco,album,254173,False,2GvI8j0DaIAGvubj5NinEF,Aprovéchate,61,4.2362166666666665,6yk3BrGrCQ4TMCutpuIHXS,Brenda
16,16,compilation,Me Verás Volver (Hits & Más),album,292266,False,5wCUdBsdubZ3ZFoJoRsMrY,Persiana Americana - Remasterizado 2007,65,4.8711,6yk3BrGrCQ4TMCutpuIHXS,Brenda
17,17,album,Las Consecuencias,album,233960,False,73KNzyiG6xM6xguaLe4ICj,Frente a frente (feat. Tulsa),65,3.899333333333333,6yk3BrGrCQ4TMCutpuIHXS,Brenda
18,18,album,Fabricando Fantasías,album,272266,False,5bkWgrKyNhMcriQP3CrHEA,Fabricando Fantasías - Salsa Version,65,4.537766666666666,6yk3BrGrCQ4TMCutpuIHXS,Brenda
19,19,single,Vete,album,206546,False,3IUoi4GkPLZY79QGoEHfF0,Vete,43,3.442433333333333,6yk3BrGrCQ4TMCutpuIHXS,Brenda
20,20,album,Que Hago Aquí?,album,221600,False,6FmwfLbteUqHfcz10Ab9yY,Dr. Psiquiatra,61,3.693333333333333,6yk3BrGrCQ4TMCutpuIHXS,Brenda
21,21,single,Verano Azul,album,190560,False,0dgwWXkfcWyB2a2qTgEc0F,Verano Azul,66,3.176,6yk3BrGrCQ4TMCutpuIHXS,Brenda
22,0,album,Sigh No More,album,280653,False,1lO8VQK74G6Bvvf05BH4o5,Dust Bowl Dance,40,4.67755,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
23,1,single,Johannesburg,album,267946,False,3BqDKQg8onwppXlPw4SYnZ,There Will Be Time,58,4.465766666666667,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
24,2,album,Avalancha,album,327426,False,4vkSJSyPddHwL7v3l1cuRf,La chispa adecuada (Bendecida 3),64,5.4571,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
25,3,album,Lost on You,album,268105,False,2LIh4uzqq9cXMPzzmcToHl,Lost on You,76,4.468416666666666,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
26,4,album,En Vivo 25 Aniversario,album,318520,False,53gDb3nG9sMytzVzD6UCMb,Cenit,43,5.308666666666666,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
27,5,album,Come What(ever) May [10th Anniversary Edition],album,282946,False,5NeIONQWJ25uPylJBJiO4c,Through Glass,73,4.715766666666667,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
28,6,compilation,Bonfire,album,316733,False,3EQjW604d5Cfbn8FnZmqyF,It's a Long Way to the Top (If You Wanna Rock 'n' Roll),39,5.278883333333333,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
29,7,album,Zaz,album,215933,False,734dz1YaFITwawPpM25fSt,Je veux,69,3.598883333333333,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
30,8,single,The Kids Are Coming,album,209438,False,5ZULALImTm80tzUbYQYM9d,Dance Monkey,81,3.4906333333333333,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
31,9,album,Dire Straits,album,348400,False,37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,81,5.8066666666666675,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
32,10,album,Bad Blood,album,214147,False,6fNhZRFEkBfgW39W3wKARJ,Pompeii,73,3.5691166666666665,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
33,11,album,Led Zeppelin IV (Deluxe Edition),album,482830,False,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,79,8.047166666666667,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
34,12,album,Use Your Illusion I,album,536066,False,3YRCqOhFifThpSRFJ1VWFM,November Rain,81,8.934433333333333,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
35,13,album,Overexposed (Deluxe),album,219466,False,4XNrMwGx1SqP01sqkGTDmo,One More Night,67,3.657766666666667,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
36,14,album,Wanted on Voyage,album,200720,False,7GJClzimvMSghjcrKxuf1M,Budapest,37,3.345333333333333,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
37,15,compilation,Video Rola,album,229800,False,4mQwxVqjcHdUEfwSWEOopx,Amargo Adiós,64,3.83,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
38,16,album,Un Panteon Muy Vivo,album,389723,False,5aLGdqM8EbHC3B1iKWKDIJ,La Dosis Perfecta,42,6.495383333333334,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
39,17,album,Sounds Of The Universe,album,193680,False,3Y8pg3FF5FivDAboCKnGOP,Wrong,0,3.228,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
40,18,compilation,"Electronic Music for Study (chill brain, study hard, brain food, perfect concentration, focus, study music , musica electronica para estudiar,concentrarse y memorizar)",album,789000,False,5IozbYa5blWCyX4gP0cMOQ,Algorithms,0,13.15,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
41,19,album,Anthology 1970-1994,album,190893,False,5SJXf9SpztjrAyr7SsX8od,Low Rider,0,3.18155,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
42,20,album,Songs of Faith and Devotion (2006 Remaster),album,276080,False,1Ob57NqUydp5cC3FCNV4Gy,I Feel You - 2006 Remaster,46,4.601333333333334,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
43,21,album,Good Company,album,245320,False,4eMxLQtSdgxdA1Hs6D2YuN,In Hell I'll Be in Good Company,63,4.088666666666667,1ayJnO4tsfmdDgCrb9GeVX,Ricardo
