,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,0.398,0.599,5,-8.217,0,0.0464,0.0684,0.00332,0.352,0.374,112.393,1lO8VQK74G6Bvvf05BH4o5
1,0.481,0.703,1,-8.344,0,0.0466,0.0137,0.0,0.0879,0.225,149.951,3BqDKQg8onwppXlPw4SYnZ
2,0.647,0.402,2,-9.14,0,0.0282,0.508,0.0,0.107,0.237,113.27,4vkSJSyPddHwL7v3l1cuRf
3,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,2LIh4uzqq9cXMPzzmcToHl
4,0.356,0.734,4,-6.314,1,0.0476,0.163,0.0,0.749,0.344,118.002,53gDb3nG9sMytzVzD6UCMb
5,0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,5NeIONQWJ25uPylJBJiO4c
6,0.458,0.87,3,-3.533,1,0.0864,0.149,0.0553,0.0634,0.535,135.937,3EQjW604d5Cfbn8FnZmqyF
7,0.525,0.807,2,-6.366,0,0.0725,0.251,0.0,0.0504,0.741,155.397,734dz1YaFITwawPpM25fSt
8,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,5ZULALImTm80tzUbYQYM9d
9,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,37Tmv4NnfQeb0ZgUC4fOJj
10,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,6fNhZRFEkBfgW39W3wKARJ
11,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,5CQ30WqJwcep0pYcV4AMNc
12,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,3YRCqOhFifThpSRFJ1VWFM
13,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,4XNrMwGx1SqP01sqkGTDmo
14,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,0.406,127.787,7GJClzimvMSghjcrKxuf1M
15,0.609,0.572,2,-7.726,0,0.0437,0.188,0.0,0.111,0.778,139.488,4mQwxVqjcHdUEfwSWEOopx
16,0.32,0.878,5,-6.285,0,0.354,0.168,0.0,0.68,0.301,161.23,5aLGdqM8EbHC3B1iKWKDIJ
17,0.518,0.876,11,-3.276,0,0.035,0.167,0.0,0.247,0.242,81.885,3Y8pg3FF5FivDAboCKnGOP
18,0.0746,0.227,5,-16.937,1,0.0456,0.552,0.192,0.0907,0.0204,176.394,5IozbYa5blWCyX4gP0cMOQ
19,0.81,0.639,0,-10.802,1,0.0487,0.0783,0.649,0.0537,0.989,140.06,5SJXf9SpztjrAyr7SsX8od
20,0.454,0.933,2,-6.539,1,0.0912,0.024,0.0421,0.493,0.141,122.913,1Ob57NqUydp5cC3FCNV4Gy
21,0.772,0.235,7,-9.075,0,0.0479,0.753,0.00125,0.111,0.703,154.802,4eMxLQtSdgxdA1Hs6D2YuN
